id  |               frame_id               | camera_id  |          captured_at          | x1  | y1  | x2  | y2  | confidence 
 704 | 71b3e7c7-6882-4934-bcdd-64fc5396f771 | cam-tcp-01 | 2026-06-15 04:13:07.835213+00 | 573 | 352 | 639 | 479 |     0.8051
 703 | 71b3e7c7-6882-4934-bcdd-64fc5396f771 | cam-tcp-01 | 2026-06-15 04:13:07.835213+00 |   7 |  78 | 605 | 480 |     0.8862
 702 | 7e2d5aae-3d4e-4f18-b171-7969a64d8fbf | cam-tcp-01 | 2026-06-15 04:13:07.624221+00 | 573 | 353 | 639 | 479 |     0.8279
 701 | 7e2d5aae-3d4e-4f18-b171-7969a64d8fbf | cam-tcp-01 | 2026-06-15 04:13:07.624221+00 |   8 |  79 | 595 | 479 |     0.8584
 700 | e6eb980c-11a4-44b2-acad-6c8faf072b6f | cam-tcp-01 | 2026-06-15 04:13:07.430638+00 | 574 | 352 | 639 | 479 |     0.7883
 699 | e6eb980c-11a4-44b2-acad-6c8faf072b6f | cam-tcp-01 | 2026-06-15 04:13:07.430638+00 |  19 |  78 | 611 | 479 |     0.8605
 698 | a29357f7-d13f-485d-ae41-b257cd360b9c | cam-tcp-01 | 2026-06-15 04:13:07.230131+00 | 573 | 353 | 639 | 479 |     0.7964
 697 | a29357f7-d13f-485d-ae41-b257cd360b9c | cam-tcp-01 | 2026-06-15 04:13:07.230131+00 |  21 |  80 | 612 | 479 |     0.8718
 696 | fc542a1e-3abd-4ac3-a7be-240b9b4362c0 | cam-tcp-01 | 2026-06-15 04:13:07.027631+00 | 573 | 353 | 639 | 479 |     0.7661
 695 | fc542a1e-3abd-4ac3-a7be-240b9b4362c0 | cam-tcp-01 | 2026-06-15 04:13:07.027631+00 |  15 |  80 | 617 | 480 |      0.842
 693 | b88b643c-0d82-417e-a3fb-37c9903c1277 | cam-tcp-01 | 2026-06-15 04:13:06.84031+00  |   9 |  80 | 608 | 480 |     0.8656
 694 | b88b643c-0d82-417e-a3fb-37c9903c1277 | cam-tcp-01 | 2026-06-15 04:13:06.84031+00  | 573 | 352 | 639 | 479 |     0.7939
 692 | f2c8c001-95c8-436e-bfad-e42b1a2d4fd3 | cam-tcp-01 | 2026-06-15 04:13:06.622784+00 | 573 | 352 | 639 | 479 |     0.7794
 691 | f2c8c001-95c8-436e-bfad-e42b1a2d4fd3 | cam-tcp-01 | 2026-06-15 04:13:06.622784+00 |   3 |  80 | 608 | 479 |     0.8646
 690 | 95531894-6010-456a-99c2-7ad338f33152 | cam-tcp-01 | 2026-06-15 04:13:06.420678+00 | 573 | 353 | 639 | 479 |      0.799
 689 | 95531894-6010-456a-99c2-7ad338f33152 | cam-tcp-01 | 2026-06-15 04:13:06.420678+00 |  13 |  79 | 594 | 480 |     0.8844
